consignnote,courier,state,weigh,total,datepickup
SPT23029603,1,JOHOR,112.00,88.4000,"2024-01-01 00:00:00"
SPT23029604,1,JOHOR,66.00,52.8000,"2024-01-01 00:00:00"
SPT23029605,1,JOHOR,407.00,294.9000,"2024-01-01 00:00:00"
SPT23029606,1,JOHOR,180.00,136.0000,"2024-01-01 00:00:00"
JHB23001555,1,JOHOR,1.00,6.5000,"2024-01-01 00:00:00"
JHB23001556,1,JOHOR,1.00,6.5000,"2024-01-01 00:00:00"
JHB23001557,1,JOHOR,1.00,6.5000,"2024-01-01 00:00:00"
JHB23001558,1,JOHOR,1.00,6.5000,"2024-01-01 00:00:00"
JHB23001559,1,JOHOR,1.00,6.5000,"2024-01-01 00:00:00"
JHB23001561,1,JOHOR,1.00,6.5000,"2024-01-01 00:00:00"
JHB23001562,1,"KUALA LUMPUR",1.00,6.5000,"2024-01-01 00:00:00"
JHB23001563,1,SELANGOR,1.00,6.5000,"2024-01-01 00:00:00"
JHB23001564,1,JOHOR,1.00,6.5000,"2024-01-01 00:00:00"
JHB23001565,1,JOHOR,2.32,8.9000,"2024-01-01 00:00:00"
JHB23001566,1,JOHOR,1.00,6.5000,"2024-01-01 00:00:00"
JHB23001567,1,JOHOR,3.11,10.1000,"2024-01-01 00:00:00"
JHB23001568,1,"KUALA LUMPUR",1.00,6.5000,"2024-01-01 00:00:00"
JHB23001569,1,JOHOR,1.00,6.5000,"2024-01-01 00:00:00"
JHB23001570,1,JOHOR,1.00,6.5000,"2024-01-01 00:00:00"
JHB23001571,1,SELANGOR,1.00,6.5000,"2024-01-01 00:00:00"
JHB23001572,1,SELANGOR,1.00,6.5000,"2024-01-01 00:00:00"
JHB23001573,1,JOHOR,1.00,6.5000,"2024-01-01 00:00:00"
JHB23001574,1,MELAKA,1.00,6.5000,"2024-01-01 00:00:00"
JHB23001575,1,MELAKA,1.00,6.5000,"2024-01-01 00:00:00"
JHB23001576,1,JOHOR,1.00,6.5000,"2024-01-01 00:00:00"
JHB23001577,1,JOHOR,1.00,6.5000,"2024-01-01 00:00:00"
JHB23001578,1,KEDAH,2.29,8.9000,"2024-01-01 00:00:00"
