weigh,total,courier,consignnote
112.00,88.4000,1,SPT23029603
66.00,52.8000,1,SPT23029604
407.00,294.9000,1,SPT23029605
180.00,136.0000,1,SPT23029606
1.00,6.5000,1,JHB23001555
1.00,6.5000,1,JHB23001556
1.00,6.5000,1,JHB23001557
1.00,6.5000,1,JHB23001558
1.00,6.5000,1,JHB23001559
1.00,6.5000,1,JHB23001561
1.00,6.5000,1,JHB23001562
1.00,6.5000,1,JHB23001563
1.00,6.5000,1,JHB23001564
2.32,8.9000,1,JHB23001565
1.00,6.5000,1,JHB23001566
3.11,10.1000,1,JHB23001567
1.00,6.5000,1,JHB23001568
1.00,6.5000,1,JHB23001569
1.00,6.5000,1,JHB23001570
1.00,6.5000,1,JHB23001571
1.00,6.5000,1,JHB23001572
1.00,6.5000,1,JHB23001573
1.00,6.5000,1,JHB23001574
1.00,6.5000,1,JHB23001575
1.00,6.5000,1,JHB23001576
1.00,6.5000,1,JHB23001577
2.29,8.9000,1,JHB23001578
1.00,6.5000,1,JHB23001579
1.91,7.7000,1,JHB23001580
2.63,8.9000,1,JHB23001581
12.36,19.7100,1,SPT23029636
7.00,10.5000,1,SPT23029643
2.92,7.7000,1,SPT23029644
18.40,10.1200,1,SPT23029645
25.50,13.8300,1,SPT23029646
18.40,10.1200,1,SPT23029647
1.00,8.0000,1,SPT23029648
1.00,15.0500,3,XEN00001156
5.15,6.0000,1,AOR24000001
14.20,12.3000,1,AOR24000002
4.60,6.0000,1,AOR24000003
13.70,11.6000,1,AOR24000005
7.92,16.9000,1,SPT24000005
34.80,18.6000,1,SPT24000006
25.50,13.8300,1,SPT24000007
18.60,10.1200,1,SPT24000009
25.50,13.8300,1,SPT24000010
25.50,13.8300,1,SPT24000011
12.33,8.0000,1,SPT24000012
1.00,6.5000,1,SPT24000013
1.00,6.5000,5,MYCQY00006201
1.00,6.5000,1,SPT24000015
13.96,14.9000,1,SBG24000001
144.20,146.1000,1,SPT24000017
4.76,5.0000,1,SBG24000004
58.00,46.4000,1,SPT24000020
111.00,87.6900,8,300045622780
153.00,117.1000,1,SPT24000022
